,date,jz,ljjz,code
553,2018-07-11,1.3938,1.4714,001632
554,2018-07-10,1.4128,1.4904,001632
555,2018-07-09,1.4113,1.4889,001632
556,2018-07-06,1.3712,1.4488,001632
557,2018-07-05,1.3571,1.4347,001632
558,2018-07-04,1.3712,1.4488,001632
559,2018-07-03,1.3832,1.4608,001632
560,2018-07-02,1.4091,1.4867,001632
561,2018-06-30,1.4255,1.5031,001632
562,2018-06-29,1.4255,1.5031,001632
563,2018-06-28,1.3874,1.465,001632
564,2018-06-27,1.4164,1.494,001632
565,2018-06-26,1.4713,1.5489,001632
566,2018-06-25,1.4776,1.5552,001632
567,2018-06-25,1.4776,1.5552,001632
568,2018-06-22,1.5435,1.5435,001632
569,2018-06-21,1.5351,1.5351,001632
570,2018-06-20,1.5537,1.5537,001632
571,2018-06-19,1.5145,1.5145,001632
572,2018-06-15,1.5827,1.5827,001632
573,2018-06-14,1.6006,1.6006,001632
574,2018-06-13,1.6231,1.6231,001632
575,2018-06-12,1.6466,1.6466,001632
576,2018-06-11,1.5919,1.5919,001632
577,2018-06-08,1.6071,1.6071,001632
578,2018-06-07,1.6211,1.6211,001632
579,2018-06-06,1.6359,1.6359,001632
580,2018-06-05,1.6382,1.6382,001632
581,2018-06-04,1.6166,1.6166,001632
582,2018-06-01,1.5795,1.5795,001632
583,2018-05-31,1.6128,1.6128,001632
584,2018-05-30,1.5552,1.5552,001632
585,2018-05-29,1.5449,1.5449,001632
586,2018-05-28,1.5581,1.5581,001632
587,2018-05-25,1.5059,1.5059,001632
588,2018-05-25,1.5059,1.5059,001632
589,2018-05-24,1.4955,1.4955,001632
590,2018-05-23,1.5108,1.5108,001632
591,2018-05-22,1.5363,1.5363,001632
592,2018-05-21,1.5271,1.5271,001632
593,2018-05-18,1.5265,1.5265,001632
594,2018-05-17,1.5172,1.5172,001632
595,2018-05-16,1.5447,1.5447,001632
596,2018-05-15,1.5326,1.5326,001632
597,2018-05-14,1.5164,1.5164,001632
598,2018-05-11,1.4916,1.4916,001632
599,2018-05-10,1.5003,1.5003,001632
600,2018-05-09,1.4828,1.4828,001632
601,2018-05-08,1.4848,1.4848,001632
602,2018-05-07,1.4687,1.4687,001632
603,2018-05-04,1.4109,1.4109,001632
604,2018-05-03,1.4108,1.4108,001632
605,2018-05-02,1.3903,1.3903,001632
606,2018-04-27,1.3746,1.3746,001632
607,2018-04-26,1.3955,1.3955,001632
608,2018-04-25,1.4279,1.4279,001632
609,2018-04-25,1.4279,1.4279,001632
610,2018-04-24,1.4242,1.4242,001632
611,2018-04-23,1.3908,1.3908,001632
612,2018-04-20,1.3952,1.3952,001632
613,2018-04-19,1.4109,1.4109,001632
614,2018-04-18,1.3816,1.3816,001632
615,2018-04-17,1.3835,1.3835,001632
616,2018-04-16,1.4031,1.4031,001632
617,2018-04-13,1.4048,1.4048,001632
618,2018-04-12,1.4208,1.4208,001632
619,2018-04-11,1.4291,1.4291,001632
620,2018-04-10,1.4239,1.4239,001632
621,2018-04-09,1.4131,1.4131,001632
622,2018-04-04,1.4209,1.4209,001632
623,2018-04-03,1.3844,1.3844,001632
624,2018-04-02,1.3744,1.3744,001632
625,2018-03-30,1.3786,1.3786,001632
626,2018-03-29,1.3766,1.3766,001632
627,2018-03-28,1.3408,1.3408,001632
628,2018-03-27,1.3885,1.3885,001632
629,2018-03-26,1.3806,1.3806,001632
630,2018-03-26,1.3806,1.3806,001632
631,2018-03-23,1.385,1.385,001632
632,2018-03-22,1.4137,1.4137,001632
633,2018-03-21,1.4438,1.4438,001632
634,2018-03-20,1.4507,1.4507,001632
635,2018-03-19,1.4592,1.4592,001632
636,2018-03-16,1.4547,1.4547,001632
637,2018-03-15,1.4719,1.4719,001632
638,2018-03-14,1.4494,1.4494,001632
